"id","name_tc","description_tc","slug","series_last_rows","series_names"
"2","美國-實質GDP絕對值","觀察 GDP 成長率時，我們建議同步觀察「絕對金額」的變化，年增率代表該經濟體的動能，而絕對金額代表該經濟體趨勢是否持續創高。

美國 GDP 目前佔全球比重 23 ~ 25%，是世界上最大也是最重要的經濟體。

","us-real-gdp","[[[""2024-07-01"",""2.7000""],[""2024-10-01"",""2.5000""]],[[""2024-07-01"",""3.1000""],[""2024-10-01"",""2.4000""]],[[""2024-07-01"",""23400.2940""],[""2024-10-01"",""23542.3490""]]]","[""美國-實質GDP(SA,年增率,L)"", ""美國-實質國內生產毛額[GDP](SAAR, 季增年率,L)"", ""美國-實質GDP(SAAR,R)""]"
"3","美國-耐久財新訂單","耐久財新訂單（Durable Goods Orders）是指「預計能被使用超過 3 年以上的商品」之訂單狀況，為美國普查局（U.S. Census Bureau）於每個月 25 日前後提供前月「製造業出貨、存貨與訂單報告（Manufactures’ Shipment, Inventories, and Orders）」裡非常重要的一項數據。由於製造商在擬定生產計畫前必須先有訂單，進而帶動生產，因此，耐久財新訂單被視為製造業景氣的領先指標。

在這份報告中，「耐久財」相對於「非耐久財」更備受關注，其原因為非耐久財（如衣服、食品）的需求變動不大且容易預測，因此真正值得留意、影響製造業景氣的是「耐久財訂單」。

耐久財訂單中又可細分成「運輸設備」如飛機採購、「國防設備」如軍機採購、「資本財」如企業機器、「一般消費性耐久財」如汽車、家電、電腦與電子產品等。

不過，由於耐久財訂單容易受到國防設備（軍機）、運輸設備（飛機）等金額龐大的訂單影響，波動較為劇烈，因此建議將這兩者扣除後再進行觀察。排除軍機、軍艦以及飛彈等非民間相關的「非國防資本財」，更是首要觀察的指標。","durable-goods","[[[""2025-02-01"",""3.3200""],[""2025-03-01"",""11.9200""]],[[""2025-02-01"",""1401893.0000""],[""2025-03-01"",""1429569.0000""]]]","[""美國-非國防資本財新訂單(SA,年增率)"", ""美國-耐久財新訂單(SA,年增率)""]"
"4","美國-零售銷售vs.汽車銷售","美國零售銷售額（Retail Sales）是由美國商務部普查局（U.S. Census Bureau）隨機抽樣 12,000 家企業所做的統計調查。其中，汽車銷售（含二手車）與維護佔整體零售銷售額約 20 ~ 22%，是評估美國經濟的關鍵風向球。

根據 NAICS Code 定義，汽車銷售主要業務包括：新舊車零售展示、週邊零組件銷售、售後服務與維修、車輛登記註冊與融資服務。而納入統計的車輛款式有：一般乘用轎車、運動型多功能休旅車、小型客貨車、輕型卡車。","retail-sales","[[[""2025-01-01"",""3.9100""],[""2025-02-01"",""3.1100""]],[[""2025-01-01"",""5.7500""],[""2025-02-01"",""3.0600""]]]","[""美國-零售銷售-總額(SA,年增率)"", ""美國-零售銷售-汽車相關(SA,年增率)""]"
"5","美國-長短期公債利差vs.GDP年增率","長天期公債殖利率常被拿來檢視該國景氣通膨狀況，短天期則常被拿來預測該國利率決策，兩者利差可代表著景氣循環的四個階段：

1. 經濟成長階段：經濟活動強勁、通膨預期溫和，短利受央行升息影響上升較快，長短利差持續縮窄。

2. 經濟過熱階段：經濟活動過熱、通膨預期強勁，迫使央行加快升息導致短利超越長利，長短利差翻負。

3. 經濟衰退階段：通膨抑制消費，利率高檔引發違約風險，整體經濟轉弱，央行降息刺激經濟，短利快速下降，利差負值收斂翻正。

4. 經濟復甦階段：央行維持寬鬆，債券殖利率曲線維持穩定正斜率（長利大於短利），利差高檔持穩。","us-business-cycles","[[[""2025-03-01"",0.3],[""2025-04-01"",0.48]],[[""2025-04-22"",""4.8700""],[""2025-04-23"",""4.8500""]],[[""2025-04-22"",""5.6600""],[""2025-04-23"",""5.6200""]],[[""2025-04-23"",""5375.8599""],[""2025-04-24"",""5484.7700""]],[[""2025-04-23"",""4.3841""],[""2025-04-24"",""4.3207""]],[[""2025-04-23"",""3.8678""],[""2025-04-24"",""3.8073""]]]","[""美國-實質GDP(SAAR,年增率)"", ""美國-長短期公債利差(10年減2年)""]"
"6","美國-非農vs.失業率","美國就業市場調查主要分為：企業端調查（CES）及電話問卷調查（CPS），非農就業人口數月增（以下簡稱非農月增）、失業率分屬於兩項調查。其中，非農月增變化可以觀察短期新增的就業動能，失業率則代表長期就業市場的趨勢。

經濟穩健、強勁時期，非農月增通常會落在 15 ~ 20 萬之間、失業率則會不斷降低。而當經濟步入衰退時，非農月增會率先翻負，接著失業率才開始回升，反映就業市場放緩的趨勢。","employment-condition","[[[""2025-02-01"",""117.0000""],[""2025-03-01"",""228.0000""]],[[""2025-02-01"",""4.1000""],[""2025-03-01"",""4.2000""]]]","[""美國-非農就業人數(SA,月增,L)"", ""美國-失業率(SA,R)""]"
"7","美國-ISM製造業&非製造業指數","美國製造業與非製造業廠商預期狀況，以50為基準點。","ism","[[[""2025-02-01"",""50.3000""],[""2025-03-01"",""49.0000""]],[[""2025-02-01"",""53.5000""],[""2025-03-01"",""50.8000""]]]","[""美國-ISM製造業指數-PMI"", ""美國-ISM非製造業指數-NMI""]"
"8","美國-消費vs.就業","初次申請失業救濟金為就業領先指標，申請人越少，顯示就業狀況復甦良好，同時有利消費。","consumption-employment","[[[""2025-01-01"",""5.4000""],[""2025-02-01"",""5.2900""]],[[""2025-03-29"",""223000.0000""],[""2025-04-05"",""223000.0000""]]]","[""美國-個人消費支出(SAAR,年增率,L)"", ""美國-4週平均初次申請救濟金人數(SA,R)""]"
"9","美國-GDP各細項比重","美國為內需大國，消費佔 GDP 比重近七成。若消費穩定成長 2%，即可對 GDP 貢獻近 1.4 個百分點；反之，若消費狀況疲弱，則會較大幅度影響整體經濟表現。其餘細項佔 GDP 比重均不超過兩成。

","gdp-percentage","[[[""2024-07-01"",""67.9000""],[""2024-10-01"",""68.1000""]],[[""2024-07-01"",""4.0000""],[""2024-10-01"",""4.0000""]],[[""2024-07-01"",""13.9000""],[""2024-10-01"",""13.7000""]],[[""2024-07-01"",""17.1000""],[""2024-10-01"",""17.2000""]],[[""2024-07-01"",""11.0000""],[""2024-10-01"",""10.8000""]],[[""2024-07-01"",""14.2000""],[""2024-10-01"",""13.9000""]]]","[""美國-消費"", ""美國-住宅投資"", ""美國-非住宅投資"", ""美國-政府支出"", ""美國-出口"", ""美國-進口""]"
"10","美國-消費者物價指數[CPI]","美國消費者物價指數（Consumer Price Index, CPI），是普遍用來觀察一國通膨的指標，同時也是各國央行制定貨幣政策的重要觀察數據。

美國聯準會的三大目標為：1. 促進最大就業；2. 穩定國內物價；3. 長期適當的利率。聯準會提出 2% 通膨的目標，並於多年以來重申至今，讓美國經濟在增長的同時，給予市場評估經濟是否過熱、聯邦基準利率是否合理的依據。

核心 CPI 則扣除價格波動較大的食品與能源項目，更能真實反映家庭單位購買大宗商品、服務價格的實際狀況，也能避免暫時性國際供需因素導致的波動，是市場更加關注的重點。

註：SA 、 NSA 分別為經季節性調整，以及非經季節性調整。經季節性調整排除每年固定的週期性因素，可以更清楚地觀察數據趨勢；而非經季節性調整則通常用於團體勞動合約、養老金計畫等實際支付條款中，也是美國勞動部新聞稿及市場常見使用的數據。","cpi","[[[""2025-02-01"",""2.8100""],[""2025-03-01"",""2.4100""]],[[""2025-02-01"",""2.8200""],[""2025-03-01"",""2.3900""]],[[""2025-02-01"",3.143667506456883],[""2025-03-01"",2.8087333707957365]]]","[""美國-消費者物價指數[CPI] (SA, 年增率)"", ""美國-消費者物價指數[CPI](NSA, 年增率)"", ""美國-核心消費者物價指數[Core CPI](SA,年增率)""]"
"11","美國-房價指數(年增率)","從房價指數的年增率變化可以看出，美國房地產循環約 18 年一次，如 1990 、 2008 年的衰退均與房地產崩盤有關。

房價走勢也受升、降息影響，當聯準會啟動升息循環，美國房價漸受壓抑，整體房市年增動能趨緩，反之亦然。","house-condition","[[[""2024-12-01"",""327.5820""],[""2025-01-01"",""329.4410""]],[[""2024-12-01"",""4.0000""],[""2025-01-01"",""4.1200""]]]","[""美國-S&P全國房價指數(L)"", ""美國-S&P全國房價指數(年增率,R)""]"
"12","美國-實質GDP","國內生產毛額（Gross Domestic Product，GDP），指一國在一段特定期間內，所生產的最終勞動或商品的總價值，為衡量一個國家經濟狀況和發展水平的重要經濟指標。未剔除通膨影響前為「名目 GDP 」，剔除通膨影響則稱為「實質 GDP 」，較能反映真實經濟成長。

GDP 統計方式每個國家略有不同，美國採直接公佈季調年化 GDP 絕對值，將當季數值經季節調整後乘以 4，折算成年度數據（Seasonally adjusted annual rate, SAAR）的絕對值，因此美國公佈的 GDP 可以直接視為當季預估的全年 GDP 絕對值。

而 GDP 數據經上述調整後，可以再分別計算「年增率」及「季增年率」。
1. 年增率：將今年當季與去年同季相比。
2. 季增年率：將最新一季的年度數據與前一季做對比，並換算成年率（4 次方）。

美國公佈的 GDP 市場多關注季增年增率，但該數值以單季增速進行年化，所以變動較劇烈，M平方認為年增率同樣重要，美國 GDP 年增率若能維持在 2%，代表經濟仍然強勁！

註：上述計算各國都有自己的慣用方式。如美國慣用季調年化 GDP 絕對值，並分別計算成年增率、季增年率；歐盟則同時公佈季增率、年增率；日本、韓國及台灣同時公佈 3 種經濟成長率，台灣市場則習慣觀察年增率。","real-gdp-growth","[[[""2024-07-01"",""3.1000""],[""2024-10-01"",""2.4000""]],[[""2024-07-01"",""2.7000""],[""2024-10-01"",""2.5000""]]]","[""美國-實質GDP(SAAR,季增年率,L)"", ""美國-實質GDP(SA,年增率,R)""]"
"13","美國-實質GDP內涵(季增年率)","美國 GDP 細項可以分成四大部分：消費、投資、政府支出、淨出口（出口 - 進口）。消費佔美國 GDP 七成，反映美國是個消費大國，消費力道影響總體經濟的變化甚巨。

季增年率：將最新一季的年度數據與前一季做對比，並換算成年率（4 次方）。","real-cigxm-growth","[[[""2024-07-01"",""3.7000""],[""2024-10-01"",""4.0000""]],[[""2024-07-01"",""0.8000""],[""2024-10-01"",""-5.6000""]],[[""2024-07-01"",""5.1000""],[""2024-10-01"",""3.1000""]],[[""2024-07-01"",""9.6000""],[""2024-10-01"",""-0.2000""]],[[""2024-07-01"",""10.7000""],[""2024-10-01"",""-1.9000""]],[[""2024-07-01"",""3.1000""],[""2024-10-01"",""2.4000""]]]","[""美國-消費(季增年率)"", ""美國-投資(季增年率)"", ""美國-政府支出(季增年率)"", ""美國-出口(季增年率)"", ""美國-進口(季增年率)"", ""美國-實質GDP(季增年率)""]"
